k,coherence,perplexity
4,-0.6775098038383749,3382.759993676756
5,-0.899353009473241,3391.2459183073884
6,-0.959241682569674,3442.1351928777844
7,-0.7613814613699761,3498.7963265825424
8,-0.8281216918507686,3565.3732344011432
